PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Shiraz, GM			IEEE	Shiraz, GM			Human-computer cooperation for building controller	SMC '97 CONFERENCE PROCEEDINGS - 1997 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS, VOLS 1-5: CONFERENCE THEME: COMPUTATIONAL CYBERNETICS AND SIMULATION	IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNATICS, CONFERENCE PROCEEDINGS		English	Proceedings Paper	1997 IEEE International Conference on Systems, Man, and Cybernetics - Computational Cybernetics and Simulation (SMC 97)	OCT 12-15, 1997	ORLANDO, FL	IEEE Syst Man & Cybernet Soc		knowledge acquisition; machine learning; Ripple Down Rules		This paper proposes a new interactive method called Parvaz, in which the expert and a learning program cooperate with each other to create a controller for dynamic systems. This method has been demonstrated for the skill of flying an aircraft in a flight simulator. Dynamic Ripple Down Rules (DRDR) has been develop for those parts of the system where it is possible for the pilot to verbalise his or her control strategy. For those parts of the flight where it is difficult or impossible for the pilot to formulate his or her strategy, Learning Dynamic Ripple Down Rules (LDRDR) has been develop to automatically produce rules from the logged data of the expert's behaviour. Parvaz has been tested using three volunteers. All the subjects were successful in creating a set of rules that can fly the aircraft through a given flight plan.		Shiraz, GM (reprint author), UNIV NEW S WALES,SCH COMP SCI & ENGN,SYDNEY,NSW 2052,AUSTRALIA.							0	0	0	0	0	I E E E	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017	1062-922X		0-7803-4054-X	IEEE SYS MAN CYBERN			1997							1039	1044					6	Computer Science, Cybernetics; Computer Science, Interdisciplinary Applications	Computer Science	BJ80Y	WOS:A1997BJ80Y00180					2020-01-29	
B	Orihara, A; Nozaki, K; Kobayashi, N; Oguri, M; Tajima, S; Inoue, M			IEEE COMP SOC	Orihara, A; Nozaki, K; Kobayashi, N; Oguri, M; Tajima, S; Inoue, M			An autonomous decentralized system platform under multi-vendor environments in building automation	THIRD INTERNATIONAL SYMPOSIUM ON AUTONOMOUS DECENTRALIZED SYSTEMS - ISADS 97 - PROCEEDINGS			English	Proceedings Paper	3rd International Symposium on Autonomous Decentralized Systems (ISADS 97)	APR 08-11, 1997	BERLIN, GERMANY	IEEE Comp Soc, Informat Proc Soc Japan, Soc Instrument & Control Engineers Japan, Int Federat Informat Proc, Int Federat Automat Control, Gesell Informat		autonomous decentralized systems; building control systems; object oriented approach; communication platform; on-line expandability; on-line maintainability; fault tolerance		This paper proposes an autonomous decentralized building control system to cope with the requirements of building control systems under multi-vendor environments. In the proposed system, building equipment is horizontally distributed on a network and autonomously works by sharing communication data on the network according to objects for building control systems. The proposed system deals with the requirements of building control systems and offers its users, such as building designers, a user-friendly tool for the system construction. In this paper, we call such a communication platform an autonomous decentralized system (ADS) platform. By utilizing the ADS platform, the building control system obtains two ADS properties, autonomous controllability and autonomous coordinability. Furthermore, the proposed system can realize the on-line expandability, on-line maintainability and fault tolerance of the system by relaying messages between the building system objects on the ADS platform without specifying the sending addresses.		Orihara, A (reprint author), NIKKEN SEKKEI LTD,1-4-27 KORAKU,TOKYO 112,JAPAN.							0	0	0	0	0	I E E E, COMPUTER SOC PRESS	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, LOS ALAMITOS, CA 90720			0-8186-7783-X				1997							409	415		10.1109/ISADS.1997.590651			7	Automation & Control Systems; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Telecommunications	Automation & Control Systems; Computer Science; Telecommunications	BH58C	WOS:A1997BH58C00051					2020-01-29	
B	Haves, P; Jorgensen, DR; Salsbury, TI; Dexter, AL			ASHRAE	Haves, P; Jorgensen, DR; Salsbury, TI; Dexter, AL			Development and testing of a prototype tool for HVAC control system commissioning	ASHRAE TRANSACTIONS 1996, VOL 102, PT 1	ASHRAE TRANSACTIONS		English	Proceedings Paper	1996 Winter Meeting of the American-Society-of-Heating-Refrigerating-and-Air-Conditioning-Engineers, Inc	FEB 18-21, 1996	ATLANTA, GA	ASHRAE					LOUGHBOROUGH UNIV TECHNOL,DEPT CIVIL & BLDG ENGN,LOUGHBOROUGH LE11 3TU,LEICS,ENGLAND								0	3	3	0	0	AMER SOC HEATING, REFRIGERATING AND AIR-CONDITIONING ENGS	ATLANTA	1791 TULLIE CIRCLE NE, ATLANTA, GA 30329				ASHRAE TRAN			1996	102		1				467	475					9	Construction & Building Technology; Engineering, Mechanical	Construction & Building Technology; Engineering	BG23T	WOS:A1996BG23T00049					2020-01-29	
B	Silva, JR; Ramos, RLCB; Miyagi, PE		CamarinhaMatos, LM; Afsarmanesh, H		Silva, JR; Ramos, RLCB; Miyagi, PE			Supervisory control of integrated building systems: A balanced approach	BALANCED AUTOMATION SYSTEMS II: IMPLEMENTATION CHALLENGES FOR ANTHROPOCENTRIC MANUFACTURING			English	Proceedings Paper	2nd IEEE/ECLA/IFIP International Conference on Architectures and Design Methods for Balanced Automation Systems	JUN, 1996	LISBON, PORTUGAL	IEEE Robot & Automat Soc q, IEEE Syst Man & Cybernet Soc, IEEE Control Syst Soc, Commiss European Union, IFIP WG 5.3		Petri net; supervisory control; Production Flow Schema (PFS); Mark Flow Graph (MFG); Building Automation Systems; Discrete Event Systems		This paper presents a formal approach to the design, modeling and simulation of integrated building automation systems. Our main objective is to define a conceptual framework to aid building control system designers in their tasks of specification, analysis, tests and changes of integrated building control strategies. The formal approach proposed can facilitate the development of complete integrated building automation systems, lowering their cost and improving their flexibility, reliability and intelligence (decision making), when compared with the nonformal environments available today. The methodology is based on the supervisory control theory introduced by Ramadge and Wonhan, through an input/output interpretation. We claim that a more balanced automation project could be achieved by using this formalism in a net representation called PFS/MFG (Production Flow Schema/Mark Flow Graph), a Petri Net extension. This formalism introduces a hierarchical approach and high level elements to which we attached an estimated time. This formal technique can also represent the interaction between the supervisory system and human operators. The model obtained allows the analysis of behavioral and structural properties of the supervisory control system, including reachability, liveness, invariants and synchronic distances.		Silva, JR (reprint author), UNIV SAO PAULO,ESCOLA POLITECN,AV PROF MELLO MORAES 2231,BR-05508900 SAO PAULO,BRAZIL.		Miyagi, Paulo Eigi/B-3879-2013; Silva, Jose Reinaldo/C-4881-2012	Miyagi, Paulo Eigi/0000-0001-6409-7591; Silva, Jose Reinaldo/0000-0003-2796-1613				0	0	0	0	0	CHAPMAN & HALL	LONDON	2-6 BOUNDARY ROW, LONDON, ENGLAND SE1 8HN			0-412-78890-X				1996							65	72					8	Automation & Control Systems; Engineering, Industrial; Engineering, Manufacturing	Automation & Control Systems; Engineering	BH44C	WOS:A1996BH44C00007					2020-01-29	
S	Watton, A; Marcks, RK; Solem, G		Iskander, MF; Gonzalez, MJ; Engel, GL; Rushforth, CK; Yoder, MA; Grow, RW; Durney, CH		Watton, A; Marcks, RK; Solem, G			Improved instructional techniques in HVAC control systems	FRONTIERS IN EDUCATION FIE'96 - 26TH ANNUAL CONFERENCE, PROCEEDINGS, VOLS 1-3: TECHNOLOGY-BASED RE-ENGINEERING ENGINEERING EDUCATION	PROCEEDINGS-FRONTIERS IN EDUCATION CONFERENCE		English	Proceedings Paper	26th Annual conference on Frontiers in Education - Technology-Based Re-Engineering Engineering Education (FIE 96)	NOV 06-09, 1996	SALT LAKE CITY, UT	IEEE Educ Soc, IEEE Comp Soc, ASEE Educ Res & Methods Div				The development effort was devoted to the evolution of a coordinated group of three laboratory experiments in heating, ventilating, and air conditioning (HVAC) control systems of the type used in commercial buildings and other large installations. Three experiments are included in the development effort, namely: (a) Single-loop control system - air (b) Single-loop control system - water and (c) Multiple-zone economizer cycle. The systems make use of pneumatic, electronic (analog), and direct-digital (microprocessor-based) control units. All three systems are designed to have reproducible and adjustable characteristics and are fully instrumented to permit quantitative measurements and recordings of steady-state and dynamic behavior. A mathematical model built with MATLAB-SIMULINK is used to check the dynamics of the single-loop-air experiment. initial classroom experience indicates the approach used makes possible a highly-effective instructional environment.		Watton, A (reprint author), SINCLAIR COMMUNITY COLL,DAYTON,OH, USA.							0	0	0	0	0	I E E E	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017	0190-5848		0-7803-3349-7	PROC FRONT EDUC CONF			1996							35	38					4	Education, Scientific Disciplines; Engineering, Electrical & Electronic	Education & Educational Research; Engineering	BH26A	WOS:A1996BH26A00010					2020-01-29	
J	Clapp, MD				Clapp, MD			Years in control: A profile of Satchwell Control Systems	GEC REVIEW			English	Article								The largest buildings controls company in the UK, Satchwell Control Systems offers an extensive range of products from valves, actuators and environment sensors through to sophisticated building management systems which utilize the latest computer technologies. Despite the highly adverse market conditions that continue to prevail in the UK and European construction industries, Satchwell continues to expand by the aggressive development of its business in overseas markets, notably Europe, the Middle East and the Asia-Pacific region. Sustained investment in product development to meet ever changing market requirements and the recent introduction of the latest generation of Building Management System, BAS 2800, are key parts of the strategy to become a major player in world markets. This continues a strong tradition of pioneering technical innovation which has been pre-eminent throughout the Company's 75-year history. This paper charts not only that history, but also highlights some of those technological achievements, which include many world firsts.								Clapp M. D., 1989, GEC Review, V5, P22; Clapp M. D., 1993, GEC Review, V8, P93; Clapp M. D., 1992, GEC Review, V8, P40	3	0	0	0	0	GEC-MARCONI	CHELMSFORD	GEC-MARCONI RES CENT WEST HANNINGFIELD ROAD EDITOR IN CHIEF/GEC JOURNALS, CHELMSFORD, ESSEX, ENGLAND CM2 8HN	0267-9337			GEC REV	GEC Rev.		1996	11	3					152	&					8	Engineering, Electrical & Electronic	Engineering	VW186	WOS:A1996VW18600004					2020-01-29	
S	Brown, B			GEOTHERMAL RESOURCES COUNCIL	Brown, B			Klamath Falls geothermal district heating system evaluation	GEOTHERMAL DEVELOPMENT IN THE PACIFIC RIM	GEOTHERMAL RESOURCES COUNCIL TRANSACTIONS		English	Proceedings Paper	1996 Annual Meeting of the Geothermal-Resources-Council - Geothermal Development in the Pacific Rim	SEP 29-OCT 02, 1996	PORTLAND, OR	Geothermal Resources Council				After several years of difficulties and limited operation, the Klamath Falls, Oregon, geothermal district heating system is now providing reliable and expanding service. However, further expansion and continued reliable, cost-effective operation are necessary to improve the economic viability of the system. Evaluation of the system capacity and the connected loads shows that the system is operating at less than half of design thermal capacity, and can support considerable additional expansion if the flow and Delta T are controlled at the connected buildings. Control system improvements, particularly for the production wells and district heating loop circulation pumps, will provide improved operation and reduced operating cost. System maintenance, especially corrosion control, will help assure continued reliable service.									0	0	0	0	0	GEOTHERMAL RESOURCES COUNCIL	DAVIS	PO BOX 1350, DAVIS, CA 95617	0193-5933		0-934412-80-4	GEOTH RES T			1996	20						51	58					8	Energy & Fuels	Energy & Fuels	BH49E	WOS:A1996BH49E00007					2020-01-29	
B	So, ATP; Chan, WL; Chow, TT			ASHRAE	So, ATP; Chan, WL; Chow, TT			A computer-vision-based HVAC control system	ASHRAE TRANSACTIONS 1995, VOL 101, PT 2	ASHRAE TRANSACTIONS		English	Proceedings Paper	1995 Annual Meeting of the American-Society-of-Heating-Refrigerating-and-Air-Conditioning-Engineers, Inc	JUN 24-28, 1995	SAN DIEGO, CA	ASHRAE					CITY UNIV HONG KONG,DEPT BLDG & CONSTUCT,KOWLOON,HONG KONG								0	0	0	0	1	AMER SOC HEATING, REFRIGERATING AND AIR-CONDITIONING ENGS	ATLANTA	1791 TULLIE CIRCLE NE, ATLANTA, GA 30329				ASHRAE TRAN			1995	101		2				661	678					18	Construction & Building Technology; Engineering, Mechanical	Construction & Building Technology; Engineering	BG23S	WOS:A1995BG23S00061					2020-01-29	
B	ArguelloSerrano, B; VelezReyes, M			IEEE	ArguelloSerrano, B; VelezReyes, M			Design of a nonlinear HVAC control system with thermal load estimation	PROCEEDINGS OF THE 4TH IEEE CONFERENCE ON CONTROL APPLICATIONS			English	Proceedings Paper	4th IEEE Conference on Control Applications	SEP 28-29, 1995	ALBANY, NY	IEEE Control Syst Soc, ASMW					UNIV PUERTO RICO,DEPT PHYS & ELECTR,AGUADILLA,PR 00604			Velez-Reyes, Miguel/O-3407-2018	Velez-Reyes, Miguel/0000-0002-6983-7250				0	4	4	1	1	I E E E	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017			0-7803-2550-8				1995							33	39		10.1109/CCA.1995.555637			7	Automation & Control Systems; Engineering, Manufacturing; Engineering, Electrical & Electronic; Engineering, Mechanical	Automation & Control Systems; Engineering	BE48V	WOS:A1995BE48V00005					2020-01-29	
J	OLSON, RT; PEDERSEN, CO; LIEBMAN, JS				OLSON, RT; PEDERSEN, CO; LIEBMAN, JS			A DYNAMIC PROCEDURE FOR THE OPTIMAL SEQUENCING OF PLANT-EQUIPMENT .2. VALIDATION AND SENSITIVITY ANALYSIS	ENGINEERING OPTIMIZATION			English	Article						THERMAL SYSTEM OPTIMIZATION; NETWORK OPTIMIZATION; SENSITIVITY ANALYSIS; CHILLER OPERATION		This paper presents a risorous simulation-based analysis of the Dynamic Chiller Sequencing (DCS) strategy for controlling HVAC equipment. The effects of many factors affecting the cooling load in a building as well as several parameters of the DCS procedure have been systematically explored to identify those which have the greatest impact on DCS performance. The ability of DCS to reduce energy costs relative to heuristic strategies typical of those found in conventional building control systems is also assessed.	UNIV ILLINOIS,DEPT MECH & IND ENGN,URBANA,IL 61801	OLSON, RT (reprint author), LOYOLA UNIV,DEPT MANAGEMENT SCI,820 N MICHIGAN AVE,CHICAGO,IL 60611, USA.						JACOBSON D, 1985, DETAILED ENERGY ANAL; Olson R. T., 1990, ENG OPTIMIZ, V15, P171, DOI DOI 10.1080/03052159008941151; OLSON RT, 1991, ENG OPTIMIZ, V21, P63; OLSON RT, 1988, THESIS U ILLINOIS UR; TOWNSEND SB, 1984, ASHRAE T, V90, P360; 1991, BLAST 30 USERS MANUA	6	1	1	0	0	GORDON BREACH SCI PUBL LTD	READING	C/O STBS LTD PO BOX 90, READING, BERKS, ENGLAND RG1 8JL	0305-215X			ENG OPTIMIZ	Eng. Optimiz.		1994	22	3					163	183		10.1080/03052159408941332			21	Engineering, Multidisciplinary; Operations Research & Management Science	Engineering; Operations Research & Management Science	PA064	WOS:A1994PA06400001					2020-01-29	
B	FASOLO, P; SEBORG, DE			AMER AUTOMAT CONTROL COUNCIL	FASOLO, P; SEBORG, DE			AN SQC APPROACH TO MONITORING AND FAULT-DETECTION IN HVAC CONTROL-SYSTEMS	PROCEEDINGS OF THE 1994 AMERICAN CONTROL CONFERENCE, VOLS 1-3			English	Proceedings Paper	1994 American Control Conference	JUN 29-JUL 01, 1994	BALTIMORE, MD	AMER AUTOMAT CONTROL COUNCIL, INT FEDERAT AUTOMAT CONTROL					BECHTEL CORP,SAN FRANCISCO,CA								0	1	1	0	0	I E E E	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017			0-7803-1783-1				1994							3055	3059					5	Automation & Control Systems; Engineering, Multidisciplinary	Automation & Control Systems; Engineering	BB17U	WOS:A1994BB17U00660					2020-01-29	
B	SCHMIDHUBER, J			IEEE	SCHMIDHUBER, J			CURIOUS MODEL-BUILDING CONTROL-SYSTEMS	1991 IEEE INTERNATIONAL JOINT CONFERENCE ON NEURAL NETWORKS, VOLS 1-3			English	Proceedings Paper	INTERNATIONAL JOINT CONF ON NEURAL NETWORKS	NOV 18-21, 1991	SINGAPORE, SINGAPORE	IEEE, NEURAL NETWORKS COUNCIL, INT NEURAL NETWORKS SOC, IEEE													0	152	152	0	3	INST ELECTRICAL ENGINEERS	STEVENAGE HERTS	STEVENAGE HERTS			0-7803-0227-3	IEEE IJCNN			1991							1458	1463					6	Engineering, Electrical & Electronic; Neurosciences	Engineering; Neurosciences & Neurology	BV46B	WOS:A1991BV46B00233					2020-01-29	
B	BELL, SV; MURRAY, TM			IEEE	BELL, SV; MURRAY, TM			DESIGN OF DIRECT DIGITAL-CONTROL SYSTEMS FOR BUILDING CONTROL AND FACILITIES MANAGEMENT	IEEE PROCEEDINGS OF THE SOUTHEASTCON 91, VOLS 1 AND 2			English	Proceedings Paper	PREMIER ANNUAL MEETING OF NASA/IEEE IN THE SOUTHEAST ( SOUTHEASTCON 91 )	1991	FORT MAGRUDER, WILLIAMSBURG, VA	NASA, IEEE	FORT MAGRUDER												0	0	0	0	0	I E E E	NEW YORK	NEW YORK			0-7803-0033-5				1991							674	676		10.1109/SECON.1991.147841			3	Engineering, Aerospace; Engineering, Electrical & Electronic	Engineering	BT68Q	WOS:A1991BT68Q00153					2020-01-29	
B	SMITH, MW; HANSON, DJ			AMER INST PLANT ENGINEERS	SMITH, MW; HANSON, DJ			COMBINING INDUSTRIAL AND BUILDING CONTROL STRATEGIES - INTEGRATION OF THE PLANT INFRASTRUCTURE WITH THE FACTORY FLOOR	PRODUCTIVITY VS BUDGET : A WIN/WIN COMBINATION: HIGHLIGHTS OF AIPES 1991 ANNUAL CONF - WINNING ENTRIES FROM THE 1991 FACILITIES MANAGEMENT EXCELLENCE ( FAME ) AWARDS PROGRAM CONDUCTED BY THE AIPE FOUNDATION			English	Proceedings Paper	1991 ANNUAL CONF OF THE AMERICAN INST OF PLANT ENGINEERS	SEP 28-OCT 02, 1991	MINNEAPOLIS, MN	AMER INST PLANT ENGINEERS													0	0	0	0	0	AMER INST PLANT ENGINEERS	CINCINNATI	CINCINNATI							1991							41	49					9	Management	Business & Economics	BX98H	WOS:A1991BX98H00004					2020-01-29	
B	SHOURESHI, R; RAHMANI, K; VANDOREN, V		CHONG, KP; LI, JC		SHOURESHI, R; RAHMANI, K; VANDOREN, V			INTELLIGENT BUILDING CONTROL-SYSTEMS	INTELLIGENT STRUCTURES			English	Proceedings Paper	INTERNATIONAL WORKSHOP ON INTELLIGENT STRUCTURES	JUL 23-26, 1990	TAIPEI, TAIWAN	CHINESE AMER ASSOC NAT DIASTER REDUCT, NATL CENT UNIV TAIWAN, NATL SCI COUNCIL TAIWAN, SINO AMER FDN													0	0	0	0	0	ELSEVIER APPL SCI PUBL LTD	BARKING ESSEX	BARKING ESSEX			1-85166-529-3				1990							196	215					20	Engineering, Mechanical; Materials Science, Multidisciplinary; Mechanics	Engineering; Materials Science; Mechanics	BU67C	WOS:A1990BU67C00012					2020-01-29	
B	JONES, JR; BOONYATIKARN, S		HEINONEN, J; KAINLAURI, E; BYRNE, J; RICH, D; SALMINEN, M; SEPPANEN, O		JONES, JR; BOONYATIKARN, S			APPLICATION OF SMART BUILDING CONTROL STRATEGIES	INTERNATIONAL SYMPOSIUM - ENERGY OPTIONS FOR THE YEAR 2000 : CONTEMPORARY CONCEPTS IN TECHNOLOGY AND POLICY, VOLS 1-4: ENERGY SYSTEM ; TECHNOLOGY FUTURES : ENERGY BUILDINGS ; INTERNATIONAL COOPERATION			English	Proceedings Paper	INTERNATIONAL SYMP ON ENERGY OPTIONS FOR THE YEAR 2000 : CONTEMPORARY CONCEPTS IN TECHNOLOGY AND POLICY	SEP 14-17, 1988	UNIV DELAWARE, CTR ENERGY & URBAN POLICY RES, NEWARK, DE	AMER COUNCIL ENERGY EFFICIENCY ECON, AMER INST CERTIFIED PLANNERS, AMER SOC HEATING REFRIGERATING & AIR CONDITIONING ENGINEERS, AMER SOLAR ENERGY SOC, AGRONNE NATL LAB, UNIV DELAWARE, CTR ENERGY & URBAN POLICY RES, IOWA STATE UNIV, COLL DESIGN, INT DIST HEATING & COOLING ASSOC, UNIV DELAWARE, INST ENERGY CONVERS, NATL LEAGUE CITIES	UNIV DELAWARE, CTR ENERGY & URBAN POLICY RES												0	0	0	0	0	CENTER ENERGY & URBAN POLICY RESEARCH	NEWARK	NEWARK							1988							C41	C48					8	Planning & Development; Social Issues; Urban Studies	Public Administration; Social Issues; Urban Studies	BS54X	WOS:A1988BS54X00073					2020-01-29	
J	BLOOD, DC				BLOOD, DC			SELECTING A BUILDING CONTROL-SYSTEM	CME-CHARTERED MECHANICAL ENGINEER			English	Article										BLOOD, DC (reprint author), HEWLETT PACKARD CO,UK DESIGN & MANAGEMENT,PALO ALTO,CA 94304, USA.							0	0	0	0	0	MECHANICAL ENG PUBL LTD	EDMUNDS	PO BOX 24, NORTHGATE AVE, BURY ST, EDMUNDS, SUFFOLK, ENGLAND IP32 6BW	0306-9532			CME-CHARTER MECH ENG			1985	32	11					42	45					4	Engineering, Mechanical	Engineering	AVC53	WOS:A1985AVC5300024					2020-01-29	
